gameid,time,roundNum,sender,contents
3423-d,1438804876121,1,matcher,"hello there",0
3423-d,1438804896022,1,matcher,"I am the matcher",0
3423-d,1438804948898,1,director,"hi",0
3423-d,1438804949127,1,matcher,"Hellooooo?",0
3423-d,1438804952111,1,matcher,"oh hi",0
3423-d,1438804959895,1,matcher,"lets talk turkey",0
3423-d,1438804969839,1,matcher,"where are your tangrams?",0
3423-d,1438804980275,1,director,"1 looks like a teacher addressing a class.",D
3423-d,1438804992336,1,matcher,"got it",D
3423-d,1438805007071,1,director,"5 looks like a flying nun",C
3423-d,1438805016137,1,matcher,"nice, got it",C
3423-d,1438805044124,1,director,"3 kinda looks a runway model showing the insides of a cape. I hope that makes sense~~~",J
3423-d,1438805054202,1,matcher,"lol yeah wait a sec",J
3423-d,1438805089212,1,matcher,"ok got it",J
3423-d,1438805115227,1,matcher,"on one which way is the teacher facing??",D
3423-d,1438805130883,1,director,"The teacher is facing the left.",D
3423-d,1438805142236,1,matcher,"awesome, go to 4",A
3423-d,1438805145139,1,director,"He is pointing toward the left",D
3423-d,1438805169032,1,matcher,"ok",A
3423-d,1438805177774,1,director,"4 looks like his head is thrown back, one leg raised and pointing toward the left. ",A
3423-d,1438805210686,1,matcher,"got it",A
3423-d,1438805212196,1,director,"8 looks like it is ice skating. Leg pointing toward the right or back~~~",I
3423-d,1438805214158,1,matcher,"you're good at this",I
3423-d,1438805251603,1,director,"I hope so.",0
3423-d,1438805261384,1,matcher,"wait.~~~~~~  4 and 8 sound similar",I
3423-d,1438805293024,1,matcher,"I have the ice skater in 8 now",I
3423-d,1438805353736,1,director,"11 looks like a sad person sitting down on a bed with legs pointing toward the left. The head looks like it is hanging~~~",E
3423-d,1438805403971,1,matcher,"got that one",E
3423-d,1438805416366,1,matcher,"4 is still confusing me",A
3423-d,1438805428344,1,director,"12 looks like someone sitting on their knees. The knees are pointing ot the right~~~ ",:
3423-d,1438805481261,1,matcher,"I have two just like that actually",L
3423-d,1438805482413,1,director,"4 could also be someone with a large nose and leg pointing toward the left. Maybe carrying something on the back~~~",A
3423-d,1438805532053,1,matcher,"ok I think I got 4 now",A
3423-d,1438805546043,1,matcher,"your 12 could be two different ones tho",L
3423-d,1438805565048,1,matcher,"very similar",L
3423-d,1438805579227,1,director,"Oh, I see. The ones on 10 and 12 do look similar~~~ The one on 10 has an extra fold pointing toward the left~~~ While the one on 12 does not~~~"K
3423-d,1438805590672,1,matcher,"greeeeeeat got it",K
