gameid,time,roundNum,sender,contents
1903-d,1438804327539,1,matcher,"hello?",0
1903-d,1438804329687,1,director,"hi",0
1903-d,1438804346910,1,director,"1. kind of looks like a rabbit",E
1903-d,1438804354535,1,matcher,"facing to the right?",E
1903-d,1438804357535,1,director,"yup",E
1903-d,1438804361315,1,matcher,"ok got it",E
1903-d,1438804370879,1,director,"7 looks like a guy sitting",F
1903-d,1438804374960,1,director,"facing left",F
1903-d,1438804382205,1,matcher,"got it",F
1903-d,1438804396058,1,director,"9 looks like a flying person",C
1903-d,1438804405361,1,matcher,"got it",C
1903-d,1438804421839,1,director,"5 has a diamond head / looks like it's pointing left",D
1903-d,1438804444350,1,matcher,"like standing and holding some kind of plate or tray?",D
1903-d,1438804464243,1,director,"yeah the bottom looks like feet facing left too",D
1903-d,1438804468758,1,matcher,"ok",D
1903-d,1438804482528,1,director,"2 has a diamond head / the left side is completely straight",J
1903-d,1438804499604,1,matcher,"got it",J
1903-d,1438804519188,1,director,"10 has a diamond head, looks like it's pointing right",L
1903-d,1438804525816,1,director,"looks like knees bent",L
1903-d,1438804542005,1,matcher,"ok",L
1903-d,1438804562336,1,director,"9 looks like loose shirt sleeves and waving around to the right",C
1903-d,1438804568292,1,director,"tilted square head",C
1903-d,1438804576802,1,matcher,"i thought 9 was the flying one?",C
1903-d,1438804581416,1,director,"oops",C
1903-d,1438804583547,1,director,"meant 8",G
1903-d,1438804634302,1,director,"did you get it?",G
1903-d,1438804642204,1,matcher,"lets come back to that one, i'm not sure",G
1903-d,1438804645711,1,director,"ok",G
1903-d,1438804667834,1,director,"11 has a square and triangle next to each other at the top right side",B
1903-d,1438804676537,1,director,"looks like an animal facing left",B
1903-d,1438804683286,1,matcher,"got it",B
1903-d,1438804706751,1,director,"3 looks like two diamonds but a triangle sort of cuts into the second diamond",K
1903-d,1438804728882,1,director,"the diamonds start at the top and goes down",K
1903-d,1438804777666,1,director,"too confusing?",K
1903-d,1438804780527,1,matcher,"haha yea",K
1903-d,1438804784178,1,director,"sorry xD",K
1903-d,1438804802170,1,director,"hmmm, looks like a bird with two things on its head",K
1903-d,1438804812391,1,director,"beak facing right",K
1903-d,1438804819098,1,director,"tail goes straight up",K
1903-d,1438804826506,1,director,"pointed belly",K
1903-d,1438804860655,1,matcher,"the one that's got a diamond head and the body is two triangles? tail facing right and one leg?",K
1903-d,1438804904557,1,director,"uhh",K
1903-d,1438804928607,1,director,"are we just missing 3,4. 8?",0
1903-d,1438804937508,1,director,"I'll try to explain another one",0
1903-d,1438804958887,1,matcher,"ok.~~~~~~see 10?",L
1903-d,1438804966626,1,matcher,"there's a similiar one with a cutout in the back",K
1903-d,1438804992430,1,director,"yeah",K
1903-d,1438804997305,1,matcher,"where does that one go?,K
1903-d,1438805003532,1,director,"3",K
1903-d,1438805025708,1,matcher,"ok, and theres one similar to 2 with a flat left and right side",H
1903-d,1438805052677,1,matcher,"looks like he's kneeling down",H
