gameid,time,roundNum,sender,contents,tangram
2388-c,1438808788498,1,matcher,"Hello",0
2388-c,1438808804413,1,director,"The first spot looks like a the profile of a person sitting with their knees up",F
2388-c,1438808823278,1,matcher,"are they facing left?",F
2388-c,1438808830037,1,director,"yes",F
2388-c,1438808832116,1,matcher,"got it",F
2388-c,1438808867276,1,matcher,"which spot has the one that looks like a bunny sitting against a wall?",E
2388-c,1438808889906,1,director,"that is spot 7",E
2388-c,1438808898380,1,matcher,"got it",E
2388-c,1438808933665,1,director,"spot 2 has two triangles that stick out to the left and one that sticks out to the right. Like a person standing on one leg",I
2388-c,1438808933837,1,matcher,"which has the one that looks like someone standing holding their left leg in the air",I
2388-c,1438808945244,1,matcher,"okay got #2",I
2388-c,1438808976337,1,director,"3 looks like a person is crouched down to the right, praying or holding a book",L
2388-c,1438809034885,1,director,"it sort of makes a "s" with the book going into the legs",L
2388-c,1438809054788,1,matcher,"okay got it",L
2388-c,1438809104736,1,director,"4 is the diamond head with a rectangle body. it has a small triangle that comes out at the bottom right and a matching indent on the bottom left",H
2388-c,1438809141547,1,matcher,"got it",H
2388-c,1438809143933,1,director,"5 looks like someone holding up their arms",C
2388-c,1438809147787,1,matcher,"good",C
2388-c,1438809207099,1,director,"six has a diamond on the left with a triangle on the right of the head area. on the bottom right there is a lone triangle sticking out",G
2388-c,1438809226729,1,matcher,"got it",G
2388-c,1438809232058,1,matcher,"7 is the bunny right?",E
2388-c,1438809236425,1,director,"yep",E
2388-c,1438809257425,1,director,"8 is someone pointing to the left ",D
2388-c,1438809263754,1,matcher,"where is the one standing with left leg in the air?",A
2388-c,1438809267473,1,matcher,"got 8",D
2388-c,1438809272295,1,director,"that is 12",A
2388-c,1438809277297,1,matcher,"cool",A
2388-c,1438809315402,1,matcher,"two of the ones left are crouching, one is taller and one is shorter",K
2388-c,1438809356235,1,director,"taller would be 10 (it should look like it has two diamonds stacked on each other at the top)",K
2388-c,1438809377817,1,matcher,"and then the third remaining has the solid line on the left",J
