gameid,time,roundNum,sender,contents,tangram
0619-a,1438802704528,1,director,"Hello",0
0619-a,1438802707700,1,matcher,"hey",0
0619-a,1438802749784,1,director,"I'm not sure how to descrive these tiles, but i'll try my best",0
0619-a,1438802764305,1,matcher,"they are kinda odd",0
0619-a,1438802769845,1,director,"Yeah, lol",0
0619-a,1438802775560,1,director,"There's one that looks like an angel, that goes in 2",C
0619-a,1438802792859,1,matcher,"an angel at an angle?",C
0619-a,1438802798167,1,director,"Yep!",0
0619-a,1438802801732,1,matcher,"k",0
0619-a,1438802809657,1,director,"The one that looks like a rabbit sitting (facing right) goes in 3",E
0619-a,1438802828348,1,matcher,"got it",0
0619-a,1438802830217,1,director,"The dancing chicken goes (facing left) goes in 10",A
0619-a,1438802863794,1,matcher,"I think I got that one",0
0619-a,1438802889011,1,matcher,"looks like a fish with a block on it's head?",A
0619-a,1438802889161,1,director,"The one that looks like a person sitting or laying back sort of (facing left) goes in 12",F
0619-a,1438802895847,1,director,"Yep!",0
0619-a,1438802910710,1,matcher,"the bummed guy",F
0619-a,1438802917704,1,director,"Lol, yep",0
0619-a,1438802945756,1,director,"The one that looks like an angel kneeling (facing right) goes in 5",B
0619-a,1438802962784,1,matcher,"got it",0
0619-a,1438802982423,1,matcher,"also looks like a terrier with a block on its nose",B
0619-a,1438803001844,1,director,"Lol, yeah!",0
0619-a,1438803040516,1,director,"There's a sort of roundish one with a block on top, and a squarish one with a block on top. The two more simple ones",J
0619-a,1438803049761,1,director,"The roundish one goes in 1 and the squarish one goes in 4",J
0619-a,1438803075177,1,matcher,"like a cube on a cliff?",J
0619-a,1438803088826,1,director,"Yes, I think that's the one",0
0619-a,1438803109113,1,matcher,"got them",0
0619-a,1438803125786,1,director,"There's one that looks like a bird facing right with a block on it's head, that's in 8",A
0619-a,1438803139630,1,director,"Hmm what else do we have",0
0619-a,1438803167908,1,matcher,"not sure about the last.~~~~~~ looks like a dancer kinda?",I
0619-a,1438803195722,1,matcher,"oops I got it",0
0619-a,1438803219962,1,director,"The one that looks like a guy holding one hand out and looking up? (facing left)",D
0619-a,1438803244260,1,matcher,"the priest one",D
0619-a,1438803251921,1,director,"Yeah, that one!",0
0619-a,1438803254332,1,director,"That's 6",0
0619-a,1438803260136,1,matcher,"k",0
0619-a,1438803266863,1,director,"Do we have any spots left?",0
0619-a,1438803293466,1,matcher,"there's one that looks like a girl praying left",K
0619-a,1438803315617,1,director,"Kneeling down facing right, and with a point sticking out the back?",K
0619-a,1438803328516,1,matcher,"yeah.~~~~~~ a ponytail",K
0619-a,1438803359527,1,matcher,"is that 9?",0
0619-a,1438803365164,1,director,"I have two that could be, 9 or 5",K
0619-a,1438803373743,1,director,"I believe we're seeing 9, yep",K
0619-a,1438803412192,1,matcher,"5 looks like a .~~~~~~ hard to say, a hippo with a block on the head",B
