gameid,time,roundNum,sender,contents
3409-e,1438802605864,1,director,"1 is pointing to the right and slightly crouching",L
3409-e,1438802628394,1,director,"you here?",0
3409-e,1438802655727,1,director,"2 is sitting with legs stretched out to left",F
3409-e,1438802657548,1,matcher,"Yes. I was just following your directions~~~",0
3409-e,1438802668799,1,director,"okay, just wanted to make sure",0
3409-e,1438802676473,1,matcher,"Done.",F
3409-e,1438802693592,1,director,"3 has arms outstretched, sitting, legs to the left",G
3409-e,1438802716522,1,director,"4 is straight vertical on left side, slightly pointing to the right",J
3409-e,1438802769054,1,director,"5 has a wing pointing to the right, a partial diamond below the diamond head",K
3409-e,1438802779762,1,matcher,"So much fun doing this with a vision impairment.~~~~~~hold on *grins*~~~",0
3409-e,1438802802919,1,director,"6 is stoic, no arm/leg action",H
3409-e,1438802804619,1,director,"lol",0
3409-e,1438802827494,1,director,"7 is on knees with wings outstretched facing right",B
3409-e,1438802837735,1,director,"8 is the ice skater",I
3409-e,1438802846615,1,director,"9 is a ghost, leaning left",C
3409-e,1438802868964,1,director,"10 is pointing to the left",D
3409-e,1438802877175,1,director,"11 is getting ready to run",A
3409-e,1438802884106,1,director,"12 has bunny ears",E
3409-e,1438802904230,1,director,"anything unclear, let me know",0
3409-e,1438802913234,1,matcher,"Alright.~~~~~~working~~~~~~~~~",0
3409-e,1438803037818,1,director,"1 and 5 are similar -- 1 is a slight crouch, 5 looks like someone on their knees, both 'wing' pointing to the right",0
3409-e,1438803037818,1,director,"1 and 5 are similar -- 1 is a slight crouch",L
3409-e,1438803037818,1,director,"5 looks like someone on their knees, both 'wing' pointing to the right",K
3409-e,1438803104815,1,matcher,"Can youd describe 9 in a different way?",C
3409-e,1438803141381,1,director,"diagonal body, slanted left, wings outstretched above (looks like a ghost to me)",C
3409-e,1438803172695,1,director,"slanted left and up",C
3409-e,1438803185853,1,matcher,"Alright.~~~~~~11?",A
3409-e,1438803195643,1,matcher,"Thank you for your patience.",0
3409-e,1438803228021,1,director,"looks like a runner in a cartoon -- one leg up and off the ground to the left, other on the ground, head leaning right",A
3409-e,1438803244780,1,director,"could be a dancer",A
3409-e,1438803257752,1,director,"feet are pointing left",A
3409-e,1438803325039,1,matcher,"Alright.~~~~~~8~~~~~~~~~and I think we will be good after that~~~",I
