gameid,time,roundNum,sender,contents,tangram
4927-0,1438964304723,1,director,"Hello",0
4927-0,1438964314352,1,matcher,"Hello",0
4927-0,1438964352279,1,matcher,"What's in square 1?",0
4927-0,1438964367618,1,director,"Square one is one of the hardest to describe",B
4927-0,1438964375954,1,director,"the bottom left is a triangle",B
4927-0,1438964388218,1,director,"conttected to a larger shape",B
4927-0,1438964396993,1,matcher,"Does it look like a weird mouse?",B
4927-0,1438964408783,1,matcher,"with one square ear and one triangle ear?",B
4927-0,1438964409346,1,director,"no, that might be #3",0
4927-0,1438964441051,1,director,"oh no you're right #1 does looks like a mouse ",B
4927-0,1438964463929,1,matcher,"ot",0
4927-0,1438964472728,1,matcher,"it's a small triangle on the left?",B
4927-0,1438964483322,1,director,"yes small triangle pointing up in the bottom left",B
4927-0,1438964494082,1,director,"doesn't match flat to the shape next to it",B
4927-0,1438964507668,1,matcher,"ok, got it. how about 2?",0
4927-0,1438964533650,1,director,"#2 is a fairly solid large black shape with a triangle pointing right in the bottom right",H
4927-0,1438964550586,1,director,"and a rotated square on top",H
4927-0,1438964576024,1,matcher,"looks kinda like it's lounging with a really long neck?",H
4927-0,1438964612609,1,director,"not really",0
4927-0,1438964624201,1,director,"let's go to #3 for now",0
4927-0,1438964638033,1,director,"#3 is pretty easy, it's the only one with a square with two triangle ears",E
4927-0,1438964646465,1,director,"looks like a little rabbit or something",E
4927-0,1438964657041,1,matcher,"sitting facing right?",E
4927-0,1438964661193,1,director,"yes",0
4927-0,1438964668289,1,matcher,"ok, what about 4?",J
4927-0,1438964682464,1,director,"4 is the only one with a diamond on top sitting on a totally flat surface",J
4927-0,1438964712976,1,matcher,"completely flat on the left side with angles pointed right?",J
4927-0,1438964715874,1,director,"yes",0
4927-0,1438964726779,1,matcher,"ok, 5?",0
4927-0,1438964740913,1,director,"5 looks like someone with their knees bent to the right",L
4927-0,1438964750089,1,director,"facing right",L
4927-0,1438964759641,1,director,"with hands in front of them",L
4927-0,1438964764441,1,matcher,"got it",0
4927-0,1438964776473,1,director,"6 looks like someone standing on one leg facing left",I
4927-0,1438964782449,1,director,"with their other leg stretched behind them",I
4927-0,1438964799672,1,matcher,"with arms to the left?",I
4927-0,1438964802137,1,director,"yes",0
4927-0,1438964807281,1,matcher,"ok, 7?",0
4927-0,1438964813018,1,director,"7 looks a lot like 5",0
4927-0,1438964825600,1,director,"but with a tail or extra piece in the back",K
4927-0,1438964837452,1,matcher,"got it",0
4927-0,1438964851904,1,director,"8 looks like someone sitting on the ground facing left",F
4927-0,1438964857616,1,director,"with knees up",F
4927-0,1438964866994,1,matcher,"ok, 9?",0
4927-0,1438964879080,1,director,"hmm 9 is a bunch of small shapes",G
4927-0,1438964898025,1,matcher,"looks like someone facing the sky? with arms raised?",G
4927-0,1438964909664,1,director,"no that is 10",0
4927-0,1438964924322,1,matcher,"and a leg raised facing left? it that 10?",A
4927-0,1438964937968,1,director,"oh no the raised leg is 12",A
4927-0,1438964960352,1,director,"10 is angled to the left but the arms are on either side of the head",C
4927-0,1438964974291,1,matcher,"ok, so we just need 2, 9 and 11",0
4927-0,1438964984425,1,director,"11 is someone standing facing left with hands out",C
4927-0,1438965000674,1,matcher,"kinda looks like 5 but with a straight back?",C
4927-0,1438965006912,1,director,"yes and facing the opposite way",C
4927-0,1438965021207,1,matcher,"got it, is 9 the one with no arms?",G
4927-0,1438965027344,1,director,"2 has no arms",H
4927-0,1438965046424,1,director,"9 has two triangles on the right side",G
4927-0,1438965055547,1,matcher,"ok, then 9 is the lounging giraffe like thing",G
4927-0,1438965063032,1,director,"yeah something like that lol",0
4927-0,1438965076708,1,matcher,"got it, ok to submit then?",0
4927-0,1438965080447,1,director,"yup go for it",0
4927-0,1438965092311,2,director,"great, all correct",0
4927-0,1438965100584,2,director,"number 1 now is the mouse again",B
4927-0,1438965105818,2,matcher,"ok",0
4927-0,1438965113591,2,director,"2 is the straight backed person facing left",D
4927-0,1438965117168,2,director,"with arm out",D
4927-0,1438965124434,2,matcher,"ok",0
4927-0,1438965136759,2,director,"3 is the head with arms up on either side tilted left",C
4927-0,1438965146785,2,matcher,"got it",0
4927-0,1438965151867,2,director,"4 is the person sitting with knees up facing left",F
4927-0,1438965167648,2,director,"5 is on one leg with the other leg behind them, arms out, facing left",I
4927-0,1438965181708,2,matcher,"this is going much faster",0
4927-0,1438965195607,2,director,"yeah thankfully!",0
4927-0,1438965205991,2,director,"6 is the person kneeling to the right with one arm out",L
4927-0,1438965216903,2,director,"the thicker one without the tail part",K
4927-0,1438965221754,2,matcher,"got it",0
4927-0,1438965239887,2,director,"7 is the diamond on the flat surface with the flat left side and angles on the right",J
4927-0,1438965251575,2,director,"8 is facing left with one foot up",A
4927-0,1438965262071,2,director,"9 is the giraffe thing lol",G
4927-0,1438965272098,2,matcher,"lol",0
4927-0,1438965280844,2,director,"10 is the rabbit 2 triangles coming out of a square's corner",E
4927-0,1438965296551,2,director,"11 is like 6 but with the tail",K
4927-0,1438965306639,2,director,"and 12 is the body with no arms or antying",H
4927-0,1438965322197,2,matcher,"ok, got it. ok to submit?",0
4927-0,1438965324430,2,director,"yup",0
4927-0,1438965329982,3,director,"cool",0
4927-0,1438965341295,3,matcher,"at least they're not changing the shapes",0
4927-0,1438965353318,3,director,"1 is the person kneeling right with no tail",L
4927-0,1438965356478,3,director,"yeah easier each time",0
4927-0,1438965368543,3,matcher,"seriously",0
4927-0,1438965376702,3,director,"2 is like 1 but facing left and straight back",D
4927-0,1438965387967,3,director,"3 is on one foot with the other foot behind him and arms out",I
4927-0,1438965399976,3,director,"4 is the rabbit - two triangles out of one corner of square",E
4927-0,1438965408527,3,director,"5 is the diamond on flat surface with flat left side",J
4927-0,1438965418734,3,director,"6 is the mouse",B
4927-0,1438965429686,3,director,"7 is facing left with one foot raised",A
4927-0,1438965440214,3,director,"8 is sitting facing left with knees up",F
4927-0,1438965448454,3,director,"9 is the body with no arms",H
4927-0,1438965458313,3,director,"10 is the head with arms up on both sides tilted to the left",C
4927-0,1438965466270,3,director,"11 is like 1 but with a tail",K
4927-0,1438965470479,3,director,"and 12 is the giraffe",G
4927-0,1438965476678,3,matcher,"got it, submitting",0
4927-0,1438965483462,4,director,"sweet",0
4927-0,1438965489836,4,matcher,"awesome",0
4927-0,1438965494790,4,director,"1 is sitting with knees up facing left",F
4927-0,1438965502095,4,director,"2 is head with arms up on both sides tilted left",C
4927-0,1438965509245,4,director,"3 is diamond on flat surface with flat left side",J
4927-0,1438965520710,4,director,"4 is straight backed facing left with arm out",D
4927-0,1438965526558,4,director,"5 is giraffe",G
4927-0,1438965530710,4,director,"6 is body with no arms",H
4927-0,1438965539582,4,director,"7 is on one foot with other foot behind him and arms out",I
4927-0,1438965546583,4,director,"8 is kneeling right with no tail",L
4927-0,1438965551590,4,director,"9 is like 8 but with tail",K
4927-0,1438965558271,4,director,"10 has one foot up facing left",A
4927-0,1438965563903,4,director,"11 is the mouse",B
4927-0,1438965567150,4,director,"12 is the rabbit",E
4927-0,1438965574801,4,matcher,"got it, submitting now",0
4927-0,1438965582142,5,director,"awesome",0
4927-0,1438965589512,5,director,"1 is one foot up facing left",A
4927-0,1438965596013,5,director,"2 is kneeling right with no tail",L
4927-0,1438965601325,5,director,"3 is diamond on flat surface, flat left side",J
4927-0,1438965612310,5,director,"4 is straight backed facing left with arm out",D
4927-0,1438965618493,5,director,"5 is body with no arms",H
4927-0,1438965628352,5,director,"6 is kneeling right with tail",K
4927-0,1438965639821,5,director,"7 is head with arms up on both sides tilted left",C
4927-0,1438965650311,5,director,"8 is sitting on ground with knees up facing left",F
4927-0,1438965656813,5,director,"9 is facing left with one leg up behind him",I
4927-0,1438965659933,5,director,"10 is mouse",B
4927-0,1438965661789,5,director,"11 is rabbit",E
4927-0,1438965663685,5,director,"12 is giraffe",G
4927-0,1438965669174,5,matcher,"ok, submitting",0
4927-0,1438965678989,6,director,"awesome last one",0
4927-0,1438965683557,6,director,"1 is facing right kneeling no tail",L
4927-0,1438965690367,6,director,"2 is head with arms up on either side",C
4927-0,1438965696725,6,director,"3 is sitting with knees up facing left",F
4927-0,1438965699053,6,director,"4 is mouse",B
4927-0,1438965703389,6,director,"5 is kneeling right with tail",K
4927-0,1438965709991,6,director,"6 is facing left with one leg up behind him",I
4927-0,1438965712861,6,director,"7 is body with no arms",H
4927-0,1438965717997,6,director,"8 is diamond on flat surface with flat left",J
4927-0,1438965729053,6,director,"9 is facing left with one leg up in front of him",A
4927-0,1438965731517,6,director,"10 is rabbit",E
4927-0,1438965735141,6,director,"11 is giraffe",G
4927-0,1438965742445,6,director,"12 is facing left straight back arm out",D
4927-0,1438965748285,6,director,"last round - thanks!",0
4927-0,1438965756540,6,matcher,"got it, thanks to you too!",0
