gameid, time, roundNum, score, dragObjIndex, dragObjX, dragObjY swapObjIndex, swapObjX, swapObjY
5120-8,1438193156120,1,0,6,3,2,6,3,2
5120-8,1438193156466,1,0,6,3,2,6,3,2
5120-8,1438193156877,1,0,6,3,2,6,3,2
5120-8,1438193159984,1,0,6,3,1,1,3,2
5120-8,1438193162082,1,1,8,3,1,6,2,2
5120-8,1438193177925,2,0,8,2,1,8,2,1
5120-8,1438193178978,2,0,8,3,1,10,2,1
5120-8,1438193180853,2,0,7,2,1,10,4,1
5120-8,1438193181840,2,0,6,3,1,8,2,2
5120-8,1438193183704,2,0,0,6,1,2,6,2
5120-8,1438193184779,2,0,4,5,2,11,5,1
5120-8,1438193193346,3,1,9,3,1,5,1,1
5120-8,1438193194391,3,2,11,3,1,9,2,2
5120-8,1438193195480,3,3,8,2,1,10,3,2
5120-8,1438193201764,4,0,3,6,2,8,4,1
5120-8,1438193202664,4,0,6,5,1,7,5,2
5120-8,1438193203663,4,0,11,3,1,10,4,2
5120-8,1438193206340,5,1,1,3,2,10,2,1
5120-8,1438193208127,5,2,4,2,2,3,3,1
5120-8,1438193209078,5,2,9,4,2,8,1,1
5120-8,1438193211458,6,0,3,3,1,4,1,1
5120-8,1438193219071,6,0,5,3,2,11,4,1
5120-8,1438193220052,6,0,10,4,2,1,2,1
5120-8,1438193220916,6,0,2,5,1,7,6,2
