gameid, time, roundNum, score, sender, contents
1125-1,1438193519752,1,0,director,"flying man on bottom right"
1125-1,1438193526726,1,0,director,"with no legs"
1125-1,1438193553306,1,0,matcher,"OK"
1125-1,1438193561125,1,0,director,"lunge man next to man with no legs on the left"
1125-1,1438193578924,1,0,matcher,"OK"
1125-1,1438193614892,1,0,director,"next on the left of that is the one that looks like a monk wolding a dish"
1125-1,1438193625260,1,0,matcher,"OK."
1125-1,1438193629939,1,0,director,"with a pointy back side pointing up"
1125-1,1438193654178,1,0,matcher,"OK"
1125-1,1438193675788,1,0,director,"next on the left is a person on one leg, other leg in the air behind them like a back kick"
1125-1,1438193685959,1,0,matcher,"OK"
1125-1,1438193709652,1,0,director,"on top of that one is the other one that looks like a monk but with the end down"
1125-1,1438193735723,1,0,matcher,"ok"
1125-1,1438193740531,1,0,director,"next on the right is the one that looks like its doing nothing"
1125-1,1438193747814,1,0,matcher,"OK"
1125-1,1438193776430,1,0,director,"next is the one that looks like there kicking something up"
1125-1,1438193796898,1,0,director,"the last one is the other lunger with no space in between his legs"
1125-1,1438193828743,1,1,matcher,"ok"
1125-1,1438193866892,2,0,director,"first one on top left is the one doing nothing"
1125-1,1438193874023,2,1,matcher,"ok"
1125-1,1438193874689,2,1,director,"second on the left is the flying man"
1125-1,1438193880427,2,2,matcher,"ok"
1125-1,1438193889492,2,2,director,"next on the left is lunger"
1125-1,1438193894306,2,3,matcher,"ok"
1125-1,1438193907060,2,3,director,"next is the other one not doign nothing"
1125-1,1438193914484,2,3,matcher,"ok"
1125-1,1438193920096,2,3,director,"bottom right is the guy sitting down"
1125-1,1438193926650,2,3,matcher,"ok"
1125-1,1438193933404,2,3,director,"nexy on the left is the monk facing left"
1125-1,1438193939502,2,3,matcher,"ok"
1125-1,1438193939712,2,3,director,"next is the rabbit person"
1125-1,1438193946054,2,3,director,"last is monk facing right"
1125-1,1438193952835,2,3,matcher,"OK"
1125-1,1438193980188,3,0,director,"first on top left is monk facing left with pointy end"
1125-1,1438193991291,3,0,matcher,"ok"
1125-1,1438193998986,3,0,director,"next on the left is the person kicking something up"
1125-1,1438194003472,3,0,director,"next is rabbit"
1125-1,1438194005993,3,0,matcher,"ok"
1125-1,1438194018048,3,1,matcher,"ok"
1125-1,1438194035084,3,1,director,"next is monk facing left."
1125-1,1438194045595,3,1,matcher,"ok"
1125-1,1438194049432,3,2,director,"correction.~~~~~~first one is facing right monk with tail up"
1125-1,1438194066683,3,3,matcher,"ok."
1125-1,1438194069732,3,3,director,"bottom right is lunger facing right"
1125-1,1438194079100,3,3,matcher,"ok"
1125-1,1438194088155,3,3,director,"on the left of that one is monk facing left with tail down"
1125-1,1438194093077,3,3,director,"next is flying man"
1125-1,1438194099436,3,2,director,"last is the back kicker"
1125-1,1438194106959,3,3,matcher,"ok"
1125-1,1438194134101,4,0,director,"first on top left is monk facing right"
1125-1,1438194139693,4,0,director,"next is man sitting down"
1125-1,1438194143191,4,0,director,"next is rabbit"
1125-1,1438194149199,4,1,director,"then back kick"
1125-1,1438194158346,4,2,director,"bottom of that is monk facinf left"
1125-1,1438194163251,4,3,director,"then person doing nothing"
1125-1,1438194168739,4,3,director,"then man kicking up"
1125-1,1438194171158,4,3,director,"the lunger"
1125-1,1438194181842,4,4,matcher,"OK"
1125-1,1438194201484,5,0,director,"top right is monk facing left"
1125-1,1438194204428,5,0,director,"then back kick"
1125-1,1438194208982,5,0,director,"then doing nothing"
1125-1,1438194218786,5,3,director,"then mok facing right"
1125-1,1438194228240,5,4,director,"bottom right is lunger with no space"
1125-1,1438194237818,5,3,director,"then is man kicking something up"
1125-1,1438194242315,5,3,director,"then sitting down man"
1125-1,1438194247145,5,3,director,"then opn leg lunger"
1125-1,1438194260185,5,3,matcher,"OK"
1125-1,1438194278675,6,0,director,"first is person doing nothing"
1125-1,1438194284842,6,1,director,"next is monk facing right"
1125-1,1438194294289,6,1,director,"then person doing more nothing"
1125-1,1438194299752,6,2,director,"then person sitting down"
1125-1,1438194312923,6,3,director,"bottom  right is person kicking up"
1125-1,1438194315449,6,3,director,"then rabbit"
1125-1,1438194322041,6,4,director,"then monk facing left"
1125-1,1438194327491,6,4,director,"the monk facing right"
1125-1,1438194334214,6,4,matcher,"OK"
